latitude,longitude,Time,Readings
-33.8965317,151.1964500,67314.0,-0.245
-33.8965234,151.1964483,67315.0,-0.279
-33.8965167,151.1964483,67316.0,-0.34
-33.8965083,151.1964433,67317.0,-0.303
-33.8965000,151.1964433,67318.0,-0.31
-33.8964917,151.1964433,67319.0,-0.334
-33.8964834,151.1964416,67320.0,-0.308
-33.8964750,151.1964366,67321.0,-0.283
-33.8964667,151.1964333,67322.0,-0.244
-33.8964584,151.1964316,67323.0,-0.271
-33.8964500,151.1964283,67324.0,-0.269
-33.8964417,151.1964266,67325.0,-0.246
-33.8964367,151.1964283,67326.0,-0.246
-33.8964284,151.1964266,67327.0,-0.278
-33.8964267,151.1964266,67328.0,-0.296
-33.8964217,151.1964266,67329.0,-0.306
-33.8964217,151.1964233,67330.0,-0.204
-33.8964217,151.1964216,67331.0,-0.34
-33.8964217,151.1964216,67332.0,-0.328
-33.8964217,151.1964216,67333.0,-0.204
-33.8964217,151.1964216,67334.0,-0.287
-33.8964201,151.1964233,67335.0,-0.146
